variable	Group
a1_3_1	CY
a1_3_2	CY
a1_3_3	CY
a2_1_1	CY
a2_1_2	CY
a2_1_3	CY
a2_3_1_1	CY
a2_3_1_2	CY
a2_3_1_3	CY
a2_3_3_1	CY
a2_3_3_2	CY
a2_3_3_3	CY
a2_5_1	CY
a2_5_2	CY
a2_5_3	CY
a3_1_1	YG
a3_1_2	YG
a3_1_3	YG
a3_2_1	YG
a3_2_2	YG
a3_2_3	YG
a3_4_1	YG
a3_4_2	YG
a3_4_3	YG
a3_5_1	YG
a3_5_2	YG
a3_5_3	YG
a8_1_1	XG
a8_1_2	XG
a8_1_3	XG
a9_1_1	XG
a9_1_2	XG
a9_1_3	XG
a12_2_1	YG
a12_2_2	YG
a12_2_3	YG
